Question,Answer,,
Can I bring my vehicle?,yes the <parking> is avaiable.,,
Where is your restaurant?,We are located at <location>.,,
Tell me what I’ve paid.,your bill is <bill>.,,
Can I see your menu?,Our menu includes items <menuitem>.,,
Can you give me your email?,You can contact us at <contact> or email <email>.,,
Can I connect to Wi-Fi?,<wifi>.,,
What is the name of your restaurant?,Our restaurant is called <name>.,,
Till what time are you open?,We are open from <hours>.,,
What’s your helpline?,You can contact us at <contact> or email <email>.,,
How can I find your restaurant?,We are located at <location>.,,
What's the name of this place?,Our restaurant is called <name>.,,
Are you open today?,We are open from <hours>.,,
Opening hours please?,We are open from <hours>.,,
What are your working hours?,We are open from <hours>.,,
Tell me your restaurant timings.,We are open from <hours>.,,
Do you take online orders?,"Yes, we provide that service. Please ask for details.",,
Where are you based?,We are located at <location>.,,
Do you allow party bookings?,"Yes, we provide that service. Please ask for details.",,
Tell me the price of Beef Burger.,Burger. costs Rs. <menu:Burger.>.,,
Do you offer parking service?,<parking>.,,
Are you open on holidays?,We are open from <hours>.,,
How long is delivery?,"Yes, we provide that service. Please ask for details.",,
Do you charge for parking?,<parking>.,,
Where are you located?,We are located at <location>.,,
What items are available?,Our menu includes items <menuitem>,,
Where can I visit you?,We are located at <location>.,,
How can I contact you?,You can contact us at <contact> or email <email>.,,
Fetch my order list.,Please share your username so I can check your orders and bill.,,
What have I ordered?,Please share your username so I can check your orders and bill.,,
Is parking available?,<parking>.,,
What is the cost of Veg Biryani?,Biryani costs Rs. <menu:Biryani>.,,
What does Pepsi cost?,cost costs Rs. <menu:cost>.,,
Cost of Chicken Biryani?,Biryani costs Rs. <menu:Biryani>.,,
Is there space for parking?,<parking>.,,
How much is Chicken Biryani?,Biryani costs Rs. <menu:Biryani>.,,
Free Wi-Fi available?,<wifi>.,,
What is your phone number?,You can contact us at <contact> or email <email>.,,
Can I host a party there?,"Yes, we provide that service. Please ask for details.",,
Rate of Chicken Pizza?,Pizza costs Rs. <menu:Pizza>.,,
